ID|Reference|Date|Amount|Account|Status
1701|REF001701|2025-06-27 21:06:40.517373|15256.00|ACC02150|SUCCESS
1702|REF001702|2025-07-19 07:29:07.564866|22925.20|ACC06746|SUCCESS
1703|REF001703|2025-06-28 23:12:58.794756|96975.80|ACC07952|FAILED
1704|REF001704|2025-07-06 21:29:08.823774|1452.62|ACC07766|FAILED
1705|REF001705|2025-07-24 03:11:00.909087|91629.12|ACC06982|FAILED
1706|REF001706|2025-07-15 04:39:31.604174|58887.70|ACC06067|SUCCESS
1707|REF001707|2025-07-12 03:57:45.71438|17151.22|ACC06201|SUCCESS
1708|REF001708|2025-07-26 11:38:13.593451|24032.62|ACC09970|FAILED
1709|REF001709|2025-06-29 07:11:09.721391|34850.11|ACC08016|FAILED
1710|REF001710|2025-07-03 00:43:41.673196|86784.25|ACC07446|FAILED
1711|REF001711|2025-07-14 14:55:54.307063|85943.84|ACC08471|FAILED
1712|REF001712|2025-07-11 07:01:00.17508|79113.71|ACC02452|SUCCESS
1713|REF001713|2025-07-22 01:35:00.107792|90423.76|ACC05510|SUCCESS
1714|REF001714|2025-07-20 07:56:22.615415|20310.46|ACC09334|SUCCESS
1715|REF001715|2025-07-16 01:43:31.780588|53171.76|ACC07512|SUCCESS
1716|REF001716|2025-07-10 00:04:33.483469|43520.56|ACC08492|SUCCESS
1717|REF001717|2025-07-05 09:26:30.833177|36163.34|ACC01722|FAILED
1718|REF001718|2025-07-07 14:53:22.183294|24174.42|ACC03597|SUCCESS
1719|REF001719|2025-07-12 08:12:17.837013|80870.23|ACC03351|FAILED
1720|REF001720|2025-07-01 18:06:29.319184|55618.08|ACC08181|FAILED
1721|REF001721|2025-07-24 20:17:13.316789|13411.37|ACC04052|FAILED
1722|REF001722|2025-07-03 20:16:49.983803|24557.95|ACC07236|FAILED
1723|REF001723|2025-07-23 20:03:04.676737|40761.44|ACC04720|FAILED
1724|REF001724|2025-07-18 08:06:17.055858|47580.86|ACC07876|FAILED
1725|REF001725|2025-07-12 02:38:14.037923|81299.55|ACC04990|FAILED
1726|REF001726|2025-07-26 13:06:35.776565|15150.13|ACC06782|SUCCESS
1727|REF001727|2025-07-16 15:00:03.617861|99209.20|ACC01333|SUCCESS
1728|REF001728|2025-07-05 00:16:36.010304|5956.16|ACC02778|FAILED
1729|REF001729|2025-06-27 14:52:11.920297|4001.94|ACC05835|SUCCESS
1730|REF001730|2025-07-06 05:39:58.047138|73421.35|ACC05577|FAILED
1731|REF001731|2025-07-09 14:16:43.287226|65657.33|ACC09948|SUCCESS
1732|REF001732|2025-07-23 08:46:40.316246|47177.59|ACC02662|SUCCESS
1733|REF001733|2025-07-12 10:40:10.537098|21014.75|ACC07430|FAILED
1734|REF001734|2025-07-07 18:09:05.007578|56663.03|ACC05582|FAILED
1735|REF001735|2025-07-09 17:24:19.684649|77511.55|ACC02224|FAILED
1736|REF001736|2025-07-17 12:46:45.349391|53008.39|ACC07669|SUCCESS
1737|REF001737|2025-07-01 22:49:40.731392|85231.23|ACC01907|SUCCESS
1738|REF001738|2025-07-13 18:24:54.973647|33546.07|ACC07218|SUCCESS
1739|REF001739|2025-07-05 02:38:03.89931|53215.58|ACC07344|FAILED
1740|REF001740|2025-07-22 11:44:11.470808|4487.02|ACC01223|FAILED
1741|REF001741|2025-07-10 10:55:28.710382|42859.42|ACC06645|SUCCESS
1742|REF001742|2025-07-08 10:26:16.588913|30561.92|ACC04411|SUCCESS
1743|REF001743|2025-07-06 19:49:22.284702|45148.58|ACC06309|FAILED
1744|REF001744|2025-06-28 06:07:03.817814|43053.15|ACC07885|FAILED
1745|REF001745|2025-07-21 17:03:26.646456|29094.57|ACC08862|FAILED
1746|REF001746|2025-06-27 18:53:44.994774|5033.35|ACC07806|FAILED
1747|REF001747|2025-07-01 08:21:15.803336|72141.32|ACC06096|FAILED
1748|REF001748|2025-07-17 20:32:33.299784|77061.13|ACC07614|FAILED
1749|REF001749|2025-07-25 18:01:34.546987|40803.97|ACC08018|SUCCESS
1750|REF001750|2025-07-24 15:01:40.73383|53587.45|ACC08784|SUCCESS
1751|REF001751|2025-07-15 12:47:43.610218|39120.40|ACC02396|FAILED
1752|REF001752|2025-07-01 04:39:12.07768|21077.17|ACC08586|FAILED
1753|REF001753|2025-07-18 06:05:35.762427|46467.74|ACC07372|FAILED
1754|REF001754|2025-07-20 11:13:31.03522|72070.72|ACC05028|SUCCESS
1755|REF001755|2025-07-14 05:09:00.636218|59859.51|ACC07811|SUCCESS
1756|REF001756|2025-07-19 07:57:46.64343|72828.06|ACC02918|SUCCESS
1757|REF001757|2025-06-27 14:29:43.096996|27544.03|ACC06119|FAILED
1758|REF001758|2025-07-09 15:01:22.579683|50480.53|ACC01418|FAILED
1759|REF001759|2025-07-02 18:05:52.581889|66657.95|ACC05372|SUCCESS
1760|REF001760|2025-07-07 10:45:12.133444|76271.60|ACC02002|FAILED
1761|REF001761|2025-07-18 01:07:02.886962|60421.49|ACC07984|FAILED
1762|REF001762|2025-07-24 09:50:18.444465|18756.14|ACC01337|FAILED
1763|REF001763|2025-06-27 18:21:16.838049|5050.71|ACC09677|SUCCESS
1764|REF001764|2025-06-29 12:28:55.354434|92169.92|ACC02911|FAILED
1765|REF001765|2025-07-07 21:55:19.189507|10981.48|ACC08538|SUCCESS
1766|REF001766|2025-07-13 08:10:55.494672|19938.92|ACC08644|FAILED
1767|REF001767|2025-07-11 00:44:16.173245|96375.23|ACC04799|SUCCESS
1768|REF001768|2025-07-17 14:51:53.781767|55701.77|ACC07290|FAILED
1769|REF001769|2025-06-29 13:57:35.417975|94671.20|ACC06837|FAILED
1770|REF001770|2025-07-10 19:12:54.066946|8152.02|ACC08667|FAILED
1771|REF001771|2025-07-12 21:30:06.414128|31343.52|ACC03545|FAILED
1772|REF001772|2025-07-10 08:58:43.690039|31176.52|ACC05516|SUCCESS
1773|REF001773|2025-07-22 16:30:22.679897|52811.85|ACC09649|SUCCESS
1774|REF001774|2025-07-14 21:16:19.221441|51424.95|ACC06953|FAILED
1775|REF001775|2025-07-07 10:25:00.198427|24493.75|ACC08495|SUCCESS
